Column Name,Inconsistent Data Types Across Files,Data Types by File
year,False,"{'Crime_by_place_of_occurrence_2014.csv': 'int64', 'Arrests_under_crime_against_women.csv': 'int64', 'Juveniles_arrested_Education.csv': 'int64', 'Offenders_known_to_the_victim.csv': 'int64', 'Human_rights_violation_by_police.csv': 'int64', 'Anti_corruption_arrests.csv': 'int64', 'District_wise_crimes_committed_against_women_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2014.csv': 'int64', 'District_wise_crimes_committed_against_SC_2001_2012.csv': 'int64', 'Police_natural_death_and_suicide.csv': 'int64', 'Home_guards_and_auxilliary_force.csv': 'int64', 'Crime_by_place_of_occurrence_2001_2012.csv': 'int64', 'Crime_by_place_of_occurrence_2013.csv': 'int64', 'District_wise_crimes_committed_against_women_2014.csv': 'int64', 'Period_of_trials_by_courts.csv': 'int64', 'Police_killed_or_injured_on_duty.csv': 'int64', 'Unidentified_dead_bodies_recovered_and_inquest_conducted.csv': 'int64', 'Serious_fraud.csv': 'int64', 'Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv': 'int64', 'Juveniles_arrested_Family_background.csv': 'int64', 'Complaints_against_police.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv': 'int64', 'District_wise_crimes_committed_IPC_2014.csv': 'int64', 'District_wise_crimes_committed_against_SC_2013.csv': 'int64', 'Property_stolen_and_recovered.csv': 'int64', 'Specific_purpose_of_kidnapping_and_abduction.csv': 'int64', 'Persons_arrested_under_recidivism.csv': 'int64', 'District_wise_crimes_committed_against_SC_2014.csv': 'int64', 'Custodial_death_others.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv': 'int64', 'Nature_of_complaints_received_by_police.csv': 'int64', 'District_wise_crimes_committed_IPC_2013.csv': 'int64', 'Use_of_fire_arms_in_murder_cases.csv': 'int64', 'Juveniles_arrested_Recidivism.csv': 'int64', 'Cases_under_crime_against_women.csv': 'int64', 'Custodial_death_person_remanded.csv': 'int64', 'Trial_of_violent_crimes_by_courts.csv': 'int64', 'Police_housing.csv': 'int64', 'Anti_corruprion_cases.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv': 'int64', 'District_wise_crimes_committed_against_children_2013.csv': 'int64', 'District_wise_crimes_committed_against_children_2001_2012.csv': 'int64', 'Juveniles_arrested_and_their_disposal.csv': 'int64', 'CH_not_murder_victim_age_sex.csv': 'int64', 'Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv': 'int64', 'Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv': 'int64', 'Escapes_from_police_custody.csv': 'int64', 'Custodial_death_person_not_remanded.csv': 'int64', 'Casualties_under_police_firing_and_lathi_charge.csv': 'int64', 'District_wise_crimes_committed_IPC_2001_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2014.csv': 'int64', 'Juvenile_apprehended_state_IPC.csv': 'int64', 'District_wise_crimes_committed_against_ST_2013.csv': 'int64', 'Juvenile_apprehended_state_SLL.csv': 'int64', 'Auto_theft.csv': 'int64', 'Property_stolen_and_recovered_nature_of_property.csv': 'int64', 'Victims_of_rape.csv': 'int64', 'District_wise_crimes_committed_against_ST_2001_2012.csv': 'int64', 'District_wise_crimes_committed_against_ST_2014.csv': 'int64', 'Age_profile_of_police_personnel_killed_on_duty.csv': 'int64', 'Custodial_death_during_production.csv': 'int64', 'District_wise_crimes_committed_against_women_2001_2012.csv': 'int64', 'Custodial_death_during_hospitalization_or_treatment.csv': 'int64', 'Police_strength_actual_and_sanctioned.csv': 'int64', 'Murder_victim_age_sex.csv': 'int64', 'Juveniles_arrested_Economic_setup.csv': 'int64'}"
residence_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
residence_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
highways_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
riverorsea_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
railways_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'float64'}
religious_places_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
religious_places_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
atm_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
bank_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
commest_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
otherplaces_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_dacoity_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_dacoity_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_robbery_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_robbery_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_burglary_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_burglary_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'float64'}
total_theft_cases_reported,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
total_theft_value_of_property_stolen,False,{'Crime_by_place_of_occurrence_2014.csv': 'int64'}
area_name,False,"{'Arrests_under_crime_against_women.csv': 'object', 'Juveniles_arrested_Education.csv': 'object', 'Offenders_known_to_the_victim.csv': 'object', 'Human_rights_violation_by_police.csv': 'object', 'Anti_corruption_arrests.csv': 'object', 'Police_natural_death_and_suicide.csv': 'object', 'Home_guards_and_auxilliary_force.csv': 'object', 'Period_of_trials_by_courts.csv': 'object', 'Police_killed_or_injured_on_duty.csv': 'object', 'Unidentified_dead_bodies_recovered_and_inquest_conducted.csv': 'object', 'Serious_fraud.csv': 'object', 'Juveniles_arrested_Family_background.csv': 'object', 'Complaints_against_police.csv': 'object', 'Property_stolen_and_recovered.csv': 'object', 'Specific_purpose_of_kidnapping_and_abduction.csv': 'object', 'Persons_arrested_under_recidivism.csv': 'object', 'Custodial_death_others.csv': 'object', 'Nature_of_complaints_received_by_police.csv': 'object', 'Use_of_fire_arms_in_murder_cases.csv': 'object', 'Juveniles_arrested_Recidivism.csv': 'object', 'Cases_under_crime_against_women.csv': 'object', 'Custodial_death_person_remanded.csv': 'object', 'Trial_of_violent_crimes_by_courts.csv': 'object', 'Police_housing.csv': 'object', 'Anti_corruprion_cases.csv': 'object', 'Juveniles_arrested_and_their_disposal.csv': 'object', 'CH_not_murder_victim_age_sex.csv': 'object', 'Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv': 'object', 'Escapes_from_police_custody.csv': 'object', 'Custodial_death_person_not_remanded.csv': 'object', 'Casualties_under_police_firing_and_lathi_charge.csv': 'object', 'Auto_theft.csv': 'object', 'Property_stolen_and_recovered_nature_of_property.csv': 'object', 'Victims_of_rape.csv': 'object', 'Age_profile_of_police_personnel_killed_on_duty.csv': 'object', 'Custodial_death_during_production.csv': 'object', 'Custodial_death_during_hospitalization_or_treatment.csv': 'object', 'Police_strength_actual_and_sanctioned.csv': 'object', 'Murder_victim_age_sex.csv': 'object', 'Juveniles_arrested_Economic_setup.csv': 'object'}"
group_name,False,"{'Arrests_under_crime_against_women.csv': 'object', 'Human_rights_violation_by_police.csv': 'object', 'Police_natural_death_and_suicide.csv': 'object', 'Period_of_trials_by_courts.csv': 'object', 'Police_killed_or_injured_on_duty.csv': 'object', 'Serious_fraud.csv': 'object', 'Property_stolen_and_recovered.csv': 'object', 'Specific_purpose_of_kidnapping_and_abduction.csv': 'object', 'Custodial_death_others.csv': 'object', 'Cases_under_crime_against_women.csv': 'object', 'Custodial_death_person_remanded.csv': 'object', 'Trial_of_violent_crimes_by_courts.csv': 'object', 'Police_housing.csv': 'object', 'Custodial_death_person_not_remanded.csv': 'object', 'Casualties_under_police_firing_and_lathi_charge.csv': 'object', 'Auto_theft.csv': 'object', 'Property_stolen_and_recovered_nature_of_property.csv': 'object', 'Custodial_death_during_production.csv': 'object', 'Custodial_death_during_hospitalization_or_treatment.csv': 'object', 'Police_strength_actual_and_sanctioned.csv': 'object', 'Murder_victim_age_sex.csv': 'object'}"
sub_group_name,False,"{'Arrests_under_crime_against_women.csv': 'object', 'Juveniles_arrested_Education.csv': 'object', 'Human_rights_violation_by_police.csv': 'object', 'Period_of_trials_by_courts.csv': 'object', 'Police_killed_or_injured_on_duty.csv': 'object', 'Serious_fraud.csv': 'object', 'Juveniles_arrested_Family_background.csv': 'object', 'Property_stolen_and_recovered.csv': 'object', 'Specific_purpose_of_kidnapping_and_abduction.csv': 'object', 'Custodial_death_others.csv': 'object', 'Juveniles_arrested_Recidivism.csv': 'object', 'Cases_under_crime_against_women.csv': 'object', 'Custodial_death_person_remanded.csv': 'object', 'Trial_of_violent_crimes_by_courts.csv': 'object', 'Police_housing.csv': 'object', 'CH_not_murder_victim_age_sex.csv': 'object', 'Custodial_death_person_not_remanded.csv': 'object', 'Auto_theft.csv': 'object', 'Property_stolen_and_recovered_nature_of_property.csv': 'object', 'Custodial_death_during_production.csv': 'object', 'Custodial_death_during_hospitalization_or_treatment.csv': 'object', 'Police_strength_actual_and_sanctioned.csv': 'object', 'Murder_victim_age_sex.csv': 'object', 'Juveniles_arrested_Economic_setup.csv': 'object'}"
persons_acquitted,False,"{'Arrests_under_crime_against_women.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv': 'int64'}"
persons_against_whom_cases_compounded_or_withdrawn,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_arrested,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_chargesheeted,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_convicted,False,"{'Arrests_under_crime_against_women.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv': 'int64'}"
persons_in_custody_or_on_bail_during_investigation_at_year_beginning,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_in_custody_or_on_bail_during_investigation_at_year_end,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_in_custody_or_on_bail_during_trial_at_year_end,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,False,"{'Arrests_under_crime_against_women.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv': 'int64', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv': 'int64', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv': 'int64'}"
persons_trial_completed,False,{'Arrests_under_crime_against_women.csv': 'int64'}
persons_under_trial_at_year_beginning,False,{'Arrests_under_crime_against_women.csv': 'int64'}
total_persons_under_trial,False,{'Arrests_under_crime_against_women.csv': 'int64'}
education_above_primary_but_below_matric_or_higher_secondary,False,{'Juveniles_arrested_Education.csv': 'int64'}
education_illiterate,False,{'Juveniles_arrested_Education.csv': 'int64'}
education_matric_or_higher_secondary_&_above,False,{'Juveniles_arrested_Education.csv': 'int64'}
education_total,False,{'Juveniles_arrested_Education.csv': 'int64'}
education_upto_primary,False,{'Juveniles_arrested_Education.csv': 'int64'}
no_of_cases_in_which_offenders_were_known_to_the_victims,False,{'Offenders_known_to_the_victim.csv': 'int64'}
no_of_cases_in_which_offenders_were_neighbours,False,{'Offenders_known_to_the_victim.csv': 'int64'}
no_of_cases_in_which_offenders_were_other_known_persons,False,{'Offenders_known_to_the_victim.csv': 'int64'}
no_of_cases_in_which_offenders_were_parentsclose_family_members,False,{'Offenders_known_to_the_victim.csv': 'int64'}
no_of_cases_in_which_offenders_were_relatives,False,{'Offenders_known_to_the_victim.csv': 'int64'}
cases_registered_under_human_rights_violations,False,{'Human_rights_violation_by_police.csv': 'float64'}
policemen_chargesheeted,False,{'Human_rights_violation_by_police.csv': 'float64'}
policemen_convicted,False,{'Human_rights_violation_by_police.csv': 'float64'}
aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,False,{'Anti_corruption_arrests.csv': 'float64'}
aca02_no_of_persons_arrested_during_the_year,False,{'Anti_corruption_arrests.csv': 'float64'}
aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,False,{'Anti_corruption_arrests.csv': 'float64'}
aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,False,{'Anti_corruption_arrests.csv': 'float64'}
aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,False,{'Anti_corruption_arrests.csv': 'float64'}
